ID,Score,Time,result
1555,55,32,C
1556,64,36,C
1557,92,50,B
1558,79,48,C+
1559,56,28,C
1560,56,54,D
1561,58,35,C
1562,88,46,B
1563,57,25,C
1564,93,33,A+
1565,68,38,C+
1566,77,49,C+
1567,77,33,B+
1568,68,28,B-
1569,64,38,C
1570,71,53,C
1571,87,33,A
1572,100,42,A-
1573,66,24,B-
1574,66,38,C+
1575,72,26,B
1576,51,30,C-
1577,70,48,C
1578,60,58,D+
1579,64,50,D+
1580,74,37,B-
1581,75,34,B+
1582,56,38,D+
1583,89,44,B+
1584,53,41,D
1585,55,44,D+
1586,90,46,B
1587,77,35,B+
1588,85,41,B+
1589,94,30,A+
1590,52,40,D
1591,86,34,A
1592,99,32,A+
1593,59,52,D
1594,60,44,C-
1595,83,41,B
1596,91,30,A
1597,98,55,B+
1598,52,41,D
1599,81,47,B-
1600,81,43,B
1601,72,41,C+
1602,84,39,B+
1603,60,59,D+
1604,85,24,A
1605,86,41,B+
1606,72,59,C
1607,86,45,B+
1608,77,56,C+
1609,99,45,A-
1610,56,51,D
1611,54,33,C-
1612,92,46,B
1613,53,38,D
1614,90,34,A
1615,77,30,B+
1616,70,25,B
1617,83,56,B-
1618,79,55,C+
1619,70,32,B
1620,54,51,D-
1621,100,55,B+
1622,90,48,B
1623,73,38,B-
1624,58,46,D
1625,60,32,C+
1626,86,35,A
1627,63,50,D+
1628,52,39,D
1629,96,33,A+
1630,78,30,B+
1631,69,50,C-
1632,83,32,A-
1633,94,54,B+
1634,68,58,C-
1635,94,24,A+
1636,77,33,B+
1637,51,44,D
1638,93,36,A
1639,56,36,D+
1640,90,45,B+
1641,94,28,A+
1642,68,42,C
1643,81,52,B-
1644,60,33,C+
1645,96,24,A+
1646,90,26,A
1647,65,34,B-
1648,85,52,B
1649,77,32,B+
1650,75,54,C+
1651,64,37,C
1652,74,44,C+
1653,88,39,A-
1654,100,50,B+
1655,79,39,B
1656,75,51,C+
1657,96,33,A+
1658,98,54,B+
1659,88,52,B
1660,85,50,B
1661,79,50,C+
1662,82,34,A-
1663,78,48,C+
1664,58,38,D+
1665,92,43,B+
1666,64,56,D+
1667,71,53,C
1668,51,37,D
1669,74,36,B-
1670,68,48,C-
1671,51,42,D
1672,88,34,A
1673,84,40,B+
1674,97,53,B+
1675,50,42,D
1676,64,52,D+
1677,80,30,A-
1678,87,27,A
1679,98,53,B+
1680,57,57,D
1681,52,60,D-
1682,93,40,A
1683,54,52,D-
1684,89,38,A-
1685,55,28,C
1686,96,34,A+
1687,64,60,D+
1688,94,30,A+
1689,68,59,C-
1690,94,27,A+
1691,70,54,C
1692,63,44,C-
1693,91,46,B
1694,83,36,B+
1695,61,35,C+
1696,61,44,C-
1697,74,27,B
1698,51,28,C-
1699,96,31,A+
1700,54,60,D-
1701,57,37,D+
1702,72,32,B
1703,70,30,B
1704,89,46,B
1705,73,30,B
1706,51,52,D-
1707,55,60,D
1708,95,45,A-
1709,94,44,A-
1710,53,43,D
1711,76,28,B+
1712,98,33,A+
1713,82,37,B+
1714,90,56,B
1715,82,25,A-
1716,50,37,D
1717,73,36,B-
1718,95,56,B+
1719,63,34,C+
1720,80,54,B-
1721,82,48,B-
1722,85,49,B
1723,61,56,D+
1724,91,50,B
1725,61,33,C+
1726,98,31,A+
1727,89,32,A
1728,71,45,C+
1729,85,49,B
1730,65,43,C
1731,85,58,B
1732,86,34,A
1733,71,24,B
1734,69,58,C-
1735,60,50,D+
1736,85,38,A-
1737,82,49,B-
1738,88,38,A-
1739,52,52,D-
1740,91,37,A-
1741,62,40,C
1742,82,47,B-
1743,65,54,C-
1744,90,30,A
1745,98,29,A+
1746,61,38,C
1747,86,60,B
1748,51,27,C-
1749,67,27,B-
1750,51,54,D-
1751,72,26,B
1752,58,58,D
1753,65,41,C
1754,72,26,B
1755,97,27,A+
1756,60,43,C-
1757,87,52,B
1758,61,40,C
1759,56,27,C
1760,96,30,A+
1761,76,34,B+
1762,90,38,A-
1763,100,32,A+
1764,61,57,D+
1765,100,31,A+
1766,78,34,B+
1767,62,42,C-
1768,75,39,B
1769,88,40,A-
1770,97,60,B+
1771,64,34,C+
1772,70,40,B-
1773,78,26,B+
1774,75,25,B+
1775,90,55,B
1776,90,45,B+
1777,98,55,B+
1778,74,43,C+
1779,70,45,C+
1780,86,28,A
1781,87,56,B
1782,92,24,A
1783,56,25,C
1784,64,40,C
1785,50,30,C-
1786,52,56,D-
1787,81,34,A-
1788,88,27,A
1789,56,35,C
1790,82,36,B+
1791,93,58,B+
1792,55,50,D
1793,71,35,B
1794,77,37,B
1795,80,32,A-
1796,92,57,B
1797,86,42,B+
1798,79,58,C+
1799,92,36,A-
1800,92,42,B+
1801,58,24,C
1802,53,31,C-
1803,68,59,C-
1804,53,30,C-
1805,69,25,B-
1806,90,49,B
1807,57,38,D+
1808,74,50,C
1809,65,25,B-
1810,59,39,D+
1811,74,33,B
1812,91,44,B+
1813,53,30,C-
1814,80,52,B-
1815,84,60,B-
1816,84,56,B-
1817,66,32,B-
1818,88,45,B+
1819,60,59,D+
1820,61,34,C+
1821,68,59,C-
1822,91,26,A
1823,70,52,C
1824,88,45,B+
1825,88,49,B
1826,58,51,D
1827,67,41,C
1828,51,40,D
1829,73,58,C
1830,66,54,C-
1831,77,37,B
1832,68,45,C
1833,84,44,B
1834,67,45,C
1835,86,41,B+
1836,70,55,C
1837,59,46,D
1838,77,45,B-
1839,72,46,C
1840,54,55,D-
1841,64,27,C+
1842,57,33,C
1843,54,39,D
1844,82,31,A-
1845,58,42,D+
1846,63,53,D+
1847,78,57,C+
1848,56,38,D+
1849,63,50,D+
1850,63,28,C+
1851,64,32,C+
1852,50,59,D-
1853,70,40,B-
1854,95,41,A-
1855,79,35,B+
1856,94,45,A-
1857,72,40,B-
1858,69,30,B-
1859,60,57,D+
1860,92,52,B
1861,92,36,A-
1862,58,25,C
1863,70,30,B
1864,57,43,D+
1865,79,50,C+
1866,54,56,D-
1867,88,27,A
1868,64,52,D+
1869,56,56,D
1870,99,56,B+
1871,51,42,D
1872,98,30,A+
1873,61,37,C
1874,76,54,C+
1875,89,55,B
1876,70,46,C
1877,57,58,D
1878,69,49,C-
1879,68,30,B-
1880,71,39,B-
1881,55,29,C
1882,79,35,B+
1883,69,48,C-
1884,62,31,C+
1885,90,49,B
1886,67,34,B-
1887,58,40,D+
1888,84,31,A-
1889,57,24,C
1890,72,48,C
1891,94,29,A+
1892,85,44,B+
1893,61,59,D+
1894,81,58,B-
1895,67,56,C-
1896,59,47,D
1897,65,29,B-
1898,85,25,A
1899,75,36,B
1900,78,53,C+
1901,83,45,B
1902,54,51,D-
1903,95,40,A
1904,85,39,A-
1905,58,47,D
1906,92,54,B
1907,78,51,C+
1908,66,32,B-
1909,88,38,A-
1910,85,47,B
1911,82,45,B
1912,64,56,D+
1913,84,51,B-
1914,91,48,B
1915,50,51,D-
1916,51,50,D-
1917,81,31,A-
1918,63,32,C+
1919,81,40,B+
1920,89,37,A-
1921,51,51,D-
1922,93,59,B+
1923,96,48,B+
1924,72,48,C
1925,70,60,C
1926,70,60,C
1927,97,56,B+
1928,50,52,D-
1929,98,37,A
1930,63,51,D+
1931,74,59,C
1932,78,36,B
1933,70,53,C
1934,71,45,C+
1935,96,39,A
1936,92,29,A
1937,80,26,A-
1938,59,44,D+
1939,50,58,D-
1940,81,24,A-
1941,85,29,A
1942,64,58,D+
1943,58,40,D+
1944,64,28,C+
1945,86,58,B
1946,60,46,D+
1947,75,41,B-
1948,62,25,C+
1949,52,28,C-
1950,54,51,D-
1951,63,56,D+
1952,55,27,C
1953,99,45,A-
1954,100,48,B+
1955,79,25,B+
1956,87,46,B
1957,67,30,B-
1958,51,47,D-
1959,91,29,A
1960,55,54,D
1961,85,49,B
1962,56,46,D
1963,93,59,B+
1964,90,35,A
1965,85,27,A
1966,54,45,D
1967,77,54,C+
1968,52,26,C-
1969,70,56,C
1970,86,38,A-
1971,98,29,A+
1972,83,56,B-
1973,78,58,C+
1974,57,24,C
1975,64,26,C+
1976,71,49,C
1977,75,60,C+
1978,59,34,C
1979,95,47,B+
1980,79,60,C+
1981,50,30,C-
1982,100,46,B+
1983,54,51,D-
1984,51,45,D
1985,92,32,A
1986,97,47,B+
1987,90,41,B+
1988,85,25,A
1989,94,56,B+
1990,50,58,D-
1991,52,60,D-
1992,57,25,C
1993,94,60,B+
1994,95,49,B+
1995,56,25,C
1996,76,27,B+
1997,96,52,B+
1998,60,58,D+
1999,79,40,B
2000,81,55,B-
2001,64,57,D+
2002,86,32,A
2003,86,28,A
2004,66,50,C-
2005,85,40,A-
2006,82,45,B
2007,73,27,B
2008,99,26,A+
2009,56,31,C
2010,58,29,C
2011,77,36,B
2012,87,59,B
2013,58,38,D+
2014,65,31,B-
2015,58,28,C
2016,88,32,A
2017,87,39,A-
2018,50,56,D-
2019,81,50,B-
2020,59,58,D
2021,97,52,B+
2022,68,42,C
2023,92,42,B+
2024,81,38,B+
2025,55,50,D
2026,80,42,B
2027,64,33,C+
2028,68,34,B-
2029,63,29,C+
2030,85,29,A
2031,80,57,B-
2032,66,46,C-
2033,65,47,C-
2034,59,37,D+
2035,94,43,A-
2036,96,60,B+
2037,58,31,C
2038,64,37,C
2039,92,49,B
2040,65,25,B-
2041,85,26,A
2042,90,32,A
2043,62,33,C+
2044,56,34,C
2045,91,57,B
2046,70,32,B
2047,91,40,A-
2048,53,37,D
2049,85,40,A-
2050,72,44,C+
2051,100,49,B+
2052,59,59,D
2053,89,52,B
2054,83,60,B-
2055,52,33,C-
2056,91,55,B
2057,80,43,B
2058,57,39,D+
2059,62,25,C+
2060,69,51,C-
2061,71,57,C
2062,98,55,B+
2063,82,45,B
2064,57,52,D
2065,90,41,B+
2066,92,32,A
2067,58,58,D
2068,51,28,C-
2069,72,59,C
2070,66,41,C
2071,90,37,A-
2072,97,30,A+
2073,91,32,A
2074,80,42,B
2075,76,59,C+
2076,99,26,A+
2077,87,56,B
2078,88,43,B+
2079,92,27,A
2080,51,58,D-
2081,94,32,A+
2082,65,48,C-
2083,62,32,C+
2084,77,46,C+
2085,74,37,B-
2086,58,49,D
2087,69,47,C-
2088,91,39,A-
2089,73,60,C
2090,58,52,D
2091,51,46,D-
2092,52,37,D
2093,72,58,C
2094,91,35,A
2095,70,34,B
2096,89,41,B+
2097,77,26,B+
2098,82,24,A-
2099,52,31,C-
2100,98,28,A+
2101,85,58,B
2102,75,45,B-
2103,98,53,B+
2104,68,50,C-
2105,68,39,C+
2106,68,25,B-
2107,85,30,A
2108,84,44,B
2109,95,30,A+
2110,57,41,D+
2111,50,32,C-
2112,57,36,D+
2113,80,26,A-
2114,64,35,C+
2115,54,57,D-
2116,61,56,D+
2117,87,50,B
2118,90,42,B+
2119,95,46,B+
2120,63,46,D+
2121,90,46,B
2122,86,27,A
2123,85,44,B+
2124,86,55,B
2125,71,44,C+
2126,64,48,D+
2127,65,48,C-
2128,88,47,B
2129,84,60,B-
2130,69,59,C-
2131,92,43,B+
2132,83,28,A-
2133,82,24,A-
2134,77,30,B+
2135,97,51,B+
2136,97,26,A+
2137,60,27,C+
2138,93,50,B+
2139,55,29,C
2140,60,27,C+
2141,84,29,A-
2142,63,35,C+
2143,76,51,C+
2144,70,39,B-
2145,99,49,B+
2146,98,28,A+
2147,95,59,B+
2148,91,25,A
2149,59,31,C
2150,75,45,B-
2151,64,42,C-
2152,70,46,C
2153,53,30,C-
2154,97,26,A+
2155,99,58,B+
2156,100,55,B+
2157,70,35,B
2158,77,44,B-
2159,82,25,A-
2160,71,46,C
2161,50,57,D-
2162,95,44,A-
2163,98,57,B+
2164,51,31,C-
2165,77,30,B+
2166,60,39,C
2167,53,31,C-
2168,56,55,D
2169,61,47,D+
2170,57,29,C
2171,89,31,A
2172,70,59,C
2173,50,54,D-
2174,69,50,C-
2175,83,56,B-
2176,51,37,D
2177,83,56,B-
2178,98,34,A+
2179,53,30,C-
2180,98,43,A-
2181,53,53,D-
2182,67,39,C+
2183,70,36,B-
2184,86,41,B+
2185,96,26,A+
2186,68,53,C-
2187,71,60,C
2188,64,54,D+
2189,96,56,B+
2190,52,28,C-
2191,50,42,D
2192,81,58,B-
2193,60,57,D+
2194,68,50,C-
2195,73,33,B
2196,56,32,C
2197,61,42,C-
2198,54,50,D-
2199,94,55,B+
2200,87,55,B
2201,79,47,C+
2202,62,60,D+
2203,75,36,B
2204,98,25,A+
2205,70,30,B
2206,90,34,A
2207,91,59,B
2208,72,56,C
2209,99,55,B+
2210,56,52,D
2211,89,43,B+
2212,60,35,C+
2213,64,52,D+
2214,60,46,D+
2215,55,29,C
2216,70,48,C
2217,54,47,D-
2218,85,35,A
2219,97,43,A-
2220,69,55,C-
2221,90,25,A
2222,72,41,C+
2223,50,39,D
2224,59,46,D
2225,77,42,B-
2226,77,40,B
2227,75,24,B+
2228,63,30,C+
2229,90,25,A
2230,87,46,B
2231,54,49,D-
2232,50,51,D-
2233,53,56,D-
2234,83,59,B-
2235,92,60,B
2236,82,28,A-
2237,68,29,B-
2238,70,37,B-
2239,50,34,C-
2240,72,42,C+
2241,81,45,B
2242,73,35,B
2243,92,36,A-
2244,62,37,C
2245,78,29,B+
2246,80,31,A-
2247,62,59,D+
2248,78,34,B+
2249,98,53,B+
2250,90,45,B+
2251,61,50,D+
2252,57,40,D+
2253,86,50,B
2254,87,59,B
2255,86,38,A-
2256,51,57,D-
2257,63,40,C
2258,94,30,A+
2259,98,36,A
2260,91,48,B
2261,95,60,B+
2262,95,57,B+
2263,81,60,B-
2264,92,57,B
2265,83,55,B-
2266,57,28,C
2267,93,39,A
2268,76,26,B+
2269,72,43,C+
2270,58,40,D+
2271,75,27,B+
2272,98,35,A+
2273,63,24,C+
2274,88,39,A-
2275,71,30,B
2276,54,29,C-
2277,71,59,C
2278,53,53,D-
2279,88,39,A-
2280,95,31,A+
2281,52,32,C-
2282,99,54,B+
2283,62,56,D+
2284,68,59,C-
2285,56,52,D
2286,84,38,B+
2287,55,50,D
2288,93,47,B+
2289,52,51,D-
2290,67,57,C-
2291,93,43,A-
2292,60,29,C+
2293,64,49,D+
2294,53,57,D-
2295,53,34,C-
2296,99,49,B+
2297,62,26,C+
2298,59,31,C
2299,94,55,B+
2300,59,39,D+
2301,88,35,A
2302,72,48,C
2303,92,55,B
2304,93,46,B+
2305,79,37,B
2306,65,52,C-
2307,81,36,B+
2308,68,27,B-
2309,94,29,A+
2310,88,42,B+
2311,60,27,C+
2312,85,34,A
2313,98,29,A+
2314,70,38,B-
2315,62,59,D+
2316,85,47,B
2317,94,31,A+
2318,66,47,C-
2319,54,48,D-
2320,80,32,A-
2321,63,46,D+
2322,89,50,B
2323,60,55,D+
2324,85,25,A
2325,87,31,A
2326,75,36,B
2327,57,52,D
2328,83,38,B+
2329,65,26,B-
2330,91,24,A
2331,73,29,B
2332,59,31,C
2333,61,41,C-
2334,64,30,C+
2335,61,49,D+
2336,56,55,D
2337,69,48,C-
2338,51,52,D-
2339,93,44,A-
2340,89,55,B
2341,53,45,D
2342,63,40,C
2343,56,58,D
2344,64,31,C+
2345,63,58,D+
2346,58,33,C
2347,55,27,C
2348,67,52,C-
2349,100,31,A+
2350,64,56,D+
2351,60,55,D+
2352,96,40,A
2353,55,44,D+
2354,68,41,C
2355,73,33,B
2356,98,43,A-
2357,85,46,B
2358,54,24,C-
2359,97,51,B+
2360,97,45,A-
2361,97,24,A+
2362,83,58,B-
2363,57,38,D+
2364,67,29,B-
2365,96,55,B+
2366,90,31,A
2367,64,31,C+
2368,93,49,B+
2369,79,34,B+
2370,58,49,D
2371,54,45,D
2372,79,42,B-
2373,93,36,A
2374,91,29,A
2375,94,41,A-
2376,74,34,B
2377,80,50,B-
2378,98,40,A
2379,98,30,A+
2380,77,54,C+
2381,59,52,D
2382,65,32,B-
2383,85,44,B+
2384,60,59,D+
2385,63,43,C-
2386,69,47,C-
2387,91,49,B
2388,50,41,D
2389,63,39,C
2390,61,49,D+
2391,75,60,C+
2392,56,36,D+
2393,52,30,C-
2394,68,58,C-
2395,68,52,C-
2396,85,59,B
2397,64,47,D+
2398,63,32,C+
2399,80,60,B-
2400,94,28,A+
2401,82,33,A-
2402,76,46,C+
2403,66,34,B-
2404,50,33,C-
2405,57,56,D
2406,73,32,B
2407,72,34,B
2408,88,47,B
2409,85,35,A
2410,72,43,C+
2411,70,24,B
2412,99,25,A+
2413,73,54,C
2414,57,34,C
2415,91,45,B+
2416,53,58,D-
2417,56,41,D+
2418,75,59,C+
2419,55,26,C
2420,52,51,D-
2421,52,30,C-
2422,91,32,A
2423,70,54,C
2424,61,24,C+
2425,92,30,A
2426,90,47,B
2427,93,41,A-
2428,50,59,D-
2429,97,35,A+
2430,61,30,C+
2431,63,37,C
2432,65,46,C-
2433,85,34,A
2434,85,42,B+
2435,57,56,D
2436,98,31,A+
2437,54,47,D-
2438,98,32,A+
2439,94,24,A+
2440,86,28,A
2441,80,52,B-
2442,92,60,B
2443,50,24,C-
2444,61,35,C+
2445,52,55,D-
2446,70,28,B
2447,98,34,A+
2448,91,46,B
2449,64,26,C+
2450,82,34,A-
2451,51,51,D-
2452,64,37,C
2453,65,28,B-
2454,62,52,D+
2455,68,36,C+
2456,52,31,C-
2457,89,42,B+
2458,60,51,D+
2459,87,35,A
2460,87,34,A
2461,76,42,B-
2462,88,45,B+
2463,53,36,D
2464,70,59,C
2465,75,27,B+
2466,71,54,C
2467,78,48,C+
2468,98,59,B+
2469,65,41,C
2470,61,56,D+
2471,55,31,C
2472,56,26,C
2473,66,52,C-
2474,92,44,B+
2475,73,53,C
2476,61,26,C+
2477,93,56,B+
2478,89,50,B
2479,73,32,B
2480,67,45,C
2481,70,52,C
2482,53,37,D
2483,91,27,A
2484,50,51,D-
2485,61,37,C
2486,61,57,D+
2487,77,54,C+
2488,74,59,C
2489,58,42,D+
2490,53,40,D
2491,98,39,A
2492,73,25,B
2493,86,27,A
2494,53,41,D
2495,86,60,B
2496,57,45,D+
2497,92,42,B+
2498,68,42,C
2499,97,57,B+
2500,71,30,B
2501,54,54,D-
2502,53,30,C-
2503,77,54,C+
2504,75,49,C+
2505,53,58,D-
2506,79,30,B+
2507,79,39,B
2508,68,47,C-
2509,82,30,A-
2510,55,39,D+
2511,70,36,B-
2512,66,53,C-
2513,63,42,C-
2514,92,43,B+
2515,58,31,C
2516,72,32,B
2517,95,43,A-
2518,70,52,C
2519,85,47,B
2520,71,25,B
2521,95,43,A-
2522,69,54,C-
2523,50,47,D-
2524,53,54,D-
2525,75,30,B+
2526,64,33,C+
2527,86,41,B+
2528,96,30,A+
2529,67,27,B-
2530,65,59,C-
2531,54,58,D-
2532,60,53,D+
2533,77,45,B-
2534,64,44,C-
2535,73,41,C+
2536,93,52,B+
2537,63,54,D+
2538,95,25,A+
2539,94,49,B+
2540,59,34,C
2541,89,26,A
2542,83,51,B-
2543,72,34,B
2544,61,44,C-
2545,89,56,B
2546,66,44,C
2547,92,45,B+
2548,90,28,A
2549,55,50,D
2550,91,56,B
2551,60,47,D+
2552,78,29,B+
2553,71,38,B-
2554,89,40,A-
2555,81,57,B-
2556,83,53,B-
2557,99,47,B+
2558,64,33,C+
2559,58,39,D+
2560,53,36,D
2561,87,33,A
2562,51,29,C-
2563,98,43,A-
2564,69,40,C+
2565,70,48,C
2566,83,30,A-
2567,60,35,C+
2568,55,32,C
2569,87,57,B
2570,77,28,B+
2571,72,46,C
2572,99,39,A
2573,87,55,B
2574,91,57,B
2575,66,47,C-
2576,87,57,B
2577,53,33,C-
2578,85,46,B
2579,57,47,D
2580,55,38,D+
2581,86,35,A
2582,87,49,B
2583,100,29,A+
2584,83,24,A-
2585,53,25,C-
2586,73,60,C
2587,63,26,C+
2588,90,42,B+
2589,90,45,B+
2590,72,43,C+
2591,56,50,D
2592,50,42,D
2593,54,28,C-
2594,62,42,C-
2595,94,56,B+
2596,78,53,C+
2597,52,29,C-
2598,51,49,D-
2599,51,50,D-
2600,82,44,B
2601,62,38,C
2602,58,26,C
2603,57,59,D
2604,97,55,B+
2605,67,37,C+
2606,100,41,A-
2607,52,34,C-
2608,60,43,C-
2609,73,31,B
2610,66,29,B-
2611,93,43,A-
2612,78,32,B+
2613,96,34,A+
2614,69,51,C-
2615,97,49,B+
2616,68,55,C-
2617,77,35,B+
2618,56,26,C
2619,70,30,B
2620,71,45,C+
2621,77,44,B-
2622,97,54,B+
2623,72,53,C
2624,97,56,B+
2625,61,26,C+
2626,96,59,B+
2627,95,32,A+
2628,80,53,B-
2629,71,36,B-
2630,63,44,C-
2631,77,60,C+
2632,69,52,C-
2633,82,51,B-
2634,71,48,C
2635,97,35,A+
2636,63,36,C
2637,99,46,B+
2638,76,38,B
2639,88,25,A
2640,50,32,C-
2641,64,54,D+
2642,81,27,A-
2643,75,27,B+
2644,85,38,A-
2645,75,25,B+
2646,56,39,D+
2647,69,50,C-
2648,86,51,B
2649,68,24,B-
2650,56,37,D+
2651,90,56,B
2652,75,34,B+
2653,90,33,A
2654,65,31,B-
2655,70,47,C
2656,63,46,D+
2657,67,59,C-
2658,62,60,D+
2659,95,32,A+
2660,75,24,B+
2661,81,35,A-
2662,84,56,B-
2663,74,30,B
2664,91,47,B
2665,90,33,A
2666,50,39,D
2667,80,58,B-
2668,77,58,C+
2669,89,29,A
2670,72,44,C+
2671,54,59,D-
2672,54,56,D-
2673,58,30,C
2674,85,41,B+
2675,64,42,C-
2676,73,26,B
2677,67,53,C-
2678,91,52,B
2679,96,48,B+
2680,72,54,C
2681,85,51,B
2682,84,30,A-
2683,51,30,C-
2684,99,36,A
2685,93,46,B+
2686,78,60,C+
2687,65,46,C-
2688,84,24,A-
2689,66,56,C-
2690,71,42,C+
2691,61,35,C+
2692,92,27,A
2693,82,45,B
2694,96,55,B+
2695,55,28,C
2696,87,50,B
2697,99,49,B+
2698,94,35,A+
2699,97,45,A-
2700,89,54,B
2701,73,29,B
2702,95,54,B+
2703,57,31,C
2704,91,34,A
2705,55,58,D
2706,84,38,B+
2707,88,55,B
2708,91,46,B
2709,51,48,D-
2710,90,58,B
2711,97,25,A+
2712,86,55,B
2713,64,52,D+
2714,97,31,A+
2715,70,43,C+
2716,75,45,B-
2717,88,29,A
2718,67,31,B-
2719,92,45,B+
2720,79,57,C+
2721,99,41,A-
2722,64,53,D+
2723,58,37,D+
2724,58,37,D+
2725,58,53,D
2726,86,47,B
2727,95,27,A+
2728,55,54,D
2729,91,47,B
2730,71,49,C
2731,88,39,A-
2732,58,34,C
2733,100,49,B+
2734,58,56,D
2735,65,60,C-
2736,60,37,C
2737,76,57,C+
2738,96,50,B+
2739,72,60,C
2740,97,50,B+
2741,94,40,A
2742,65,54,C-
2743,64,26,C+
2744,98,51,B+
2745,57,47,D
2746,56,25,C
2747,68,25,B-
2748,60,29,C+
2749,66,45,C
2750,86,36,A-
2751,76,43,B-
2752,63,35,C+
2753,97,37,A
2754,100,39,A
2755,100,45,A-
2756,59,35,C
2757,81,57,B-
2758,73,54,C
2759,78,51,C+
2760,95,51,B+
2761,57,54,D
2762,88,31,A
2763,73,54,C
2764,93,53,B+
2765,56,36,D+
2766,86,27,A
2767,81,24,A-
2768,51,27,C-
2769,67,51,C-
2770,55,45,D+
2771,91,34,A
2772,70,44,C+
2773,75,32,B+
2774,85,47,B
2775,69,30,B-
2776,73,40,B-
2777,96,50,B+
2778,82,30,A-
2779,63,59,D+
2780,67,40,C+
2781,70,57,C
2782,96,49,B+
2783,60,26,C+
2784,99,53,B+
2785,77,46,C+
2786,55,55,D
2787,92,25,A
2788,56,56,D
2789,63,58,D+
2790,95,31,A+
2791,66,55,C-
2792,54,52,D-
2793,54,37,D
2794,50,47,D-
2795,85,24,A
2796,70,29,B
2797,100,31,A+
2798,76,36,B
2799,98,56,B+
2800,64,29,C+
2801,85,31,A
2802,64,29,C+
2803,54,31,C-
2804,64,27,C+
2805,61,44,C-
2806,77,50,C+
2807,71,30,B
2808,87,56,B
2809,62,48,D+
2810,100,25,A+
2811,53,31,C-
2812,96,48,B+
2813,69,32,B-
2814,99,28,A+
2815,63,35,C+
2816,99,39,A
2817,63,29,C+
2818,66,48,C-
2819,53,25,C-
2820,71,59,C
2821,78,48,C+
2822,54,42,D
2823,96,41,A-
2824,82,27,A-
2825,58,33,C
2826,63,38,C
2827,80,34,A-
2828,77,52,C+
2829,79,52,C+
2830,99,60,B+
2831,50,57,D-
2832,79,42,B-
2833,61,36,C
2834,89,59,B
2835,58,60,D
2836,75,27,B+
2837,100,38,A
2838,95,57,B+
2839,74,52,C
2840,78,58,C+
2841,54,24,C-
2842,94,36,A
2843,55,43,D+
2844,96,31,A+
2845,73,53,C
2846,87,41,B+
2847,69,26,B-
2848,55,53,D
2849,76,33,B+
2850,63,54,D+
2851,62,57,D+
2852,67,40,C+
2853,59,48,D
2854,55,34,C
2855,83,38,B+
2856,67,59,C-
2857,94,58,B+
2858,63,48,D+
2859,100,60,B+
2860,97,29,A+
2861,95,44,A-
2862,62,50,D+
2863,96,53,B+
2864,94,35,A+
2865,94,45,A-
2866,64,30,C+
2867,86,30,A
2868,89,40,A-
2869,64,26,C+
2870,87,39,A-
2871,87,59,B
2872,73,24,B
2873,57,47,D
2874,96,24,A+
2875,93,46,B+
2876,61,47,D+
2877,54,55,D-
2878,60,58,D+
2879,94,25,A+
2880,81,45,B
2881,71,30,B
2882,59,41,D+
2883,78,57,C+
2884,76,47,C+
2885,85,38,A-
2886,66,53,C-
2887,79,54,C+
2888,59,59,D
2889,75,48,C+
2890,72,56,C
2891,76,46,C+
2892,88,51,B
2893,93,42,A-
2894,88,31,A
2895,53,48,D-
2896,99,47,B+
2897,64,24,C+
2898,64,43,C-
2899,97,45,A-
2900,84,39,B+
2901,85,30,A
2902,55,30,C
2903,79,30,B+
2904,94,37,A
2905,50,26,C-
2906,63,59,D+
2907,60,40,C
2908,63,47,D+
2909,68,36,C+
2910,71,27,B
2911,52,37,D
2912,79,60,C+
2913,81,32,A-
2914,51,39,D
2915,63,57,D+
2916,82,29,A-
2917,73,32,B
2918,59,52,D
2919,92,35,A
2920,87,24,A
2921,74,45,C+
2922,65,51,C-
2923,90,44,B+
2924,86,59,B
2925,83,30,A-
2926,68,24,B-
2927,58,40,D+
2928,69,49,C-
2929,76,51,C+
2930,75,48,C+
2931,82,31,A-
2932,93,35,A+
2933,63,35,C+
2934,100,51,B+
2935,50,58,D-
2936,94,55,B+
2937,83,25,A-
2938,81,36,B+
2939,81,43,B
2940,92,44,B+
2941,68,45,C
2942,63,57,D+
2943,70,33,B
2944,54,33,C-
2945,77,29,B+
2946,71,38,B-
2947,98,54,B+
2948,93,52,B+
2949,89,41,B+
2950,83,27,A-
2951,79,43,B-
2952,56,59,D
2953,62,27,C+
2954,60,33,C+
2955,73,47,C
2956,79,47,C+
2957,57,51,D
2958,85,58,B
2959,60,60,D+
2960,100,34,A+
2961,83,53,B-
2962,57,34,C
2963,81,51,B-
2964,54,51,D-
2965,88,36,A-
2966,62,58,D+
2967,70,27,B
2968,72,42,C+
2969,87,29,A
2970,75,58,C+
2971,82,48,B-
2972,97,38,A
2973,93,44,A-
2974,70,57,C
2975,79,51,C+
2976,66,44,C
2977,84,52,B-
2978,86,47,B
2979,57,48,D
2980,51,43,D
2981,100,48,B+
2982,57,45,D+
2983,77,33,B+
2984,96,44,A-
2985,95,58,B+
2986,65,34,B-
2987,67,54,C-
2988,64,32,C+
2989,91,24,A
2990,75,57,C+
2991,87,33,A
2992,87,24,A
2993,83,25,A-
2994,58,24,C
2995,79,50,C+
2996,60,58,D+
2997,82,41,B
2998,70,51,C
2999,82,46,B-
3000,89,51,B
3001,96,38,A
3002,89,33,A
3003,67,24,B-
3004,67,42,C
3005,94,28,A+
